chisq H0 ombh2 omch2 tau As ns
2.621689370140623396e+03 6.901762413740664215e+01 2.247314271376243955e-02 1.162304958800116222e-01 9.836542563892233457e-03 1.904726997624473944e-09 9.739780246539351261e-01
2.621508024964429751e+03 6.880872094637445002e+01 2.247314365043145273e-02 1.162295589577710814e-01 9.723492937748946449e-03 1.904726997624275834e-09 9.739763700692607440e-01
2.620408484737869912e+03 6.890294709771542614e+01 2.247314177696769708e-02 1.162306510438389645e-01 9.994485536206298981e-03 1.904726997627018765e-09 9.739776100066789288e-01
2.621006472236059381e+03 6.897977329278565151e+01 2.247314080319875659e-02 1.162319302338263582e-01 1.001155432591406547e-02 1.904726997623860176e-09 9.739746356271125061e-01
2.621006472236059381e+03 6.897977329278565151e+01 2.247314080319875659e-02 1.162319302338263582e-01 1.001155432591406547e-02 1.904726997623860176e-09 9.739746356271125061e-01
2.620959278366406579e+03 6.897500094881058885e+01 2.247313343939827054e-02 1.162325677709835775e-01 1.000017119226307392e-02 1.904726997623962333e-09 9.739741716023095908e-01
2.620129820483964977e+03 6.890877746278357563e+01 2.247314558838130541e-02 1.162339318749942563e-01 1.032311595978566837e-02 1.904726997621655740e-09 9.739724898752528670e-01
2.620183459168722948e+03 6.878594792285208825e+01 2.247314217587310925e-02 1.162343696269294568e-01 1.023082494447964848e-02 1.904726997623377930e-09 9.739695852405865217e-01
2.620154396233840998e+03 6.876707362689883496e+01 2.247314658613123670e-02 1.162340942740048844e-01 1.032617444157180389e-02 1.904726997620997304e-09 9.739748592419815720e-01
2.620154396233840998e+03 6.876707362689883496e+01 2.247314658613123670e-02 1.162340942740048844e-01 1.032617444157180389e-02 1.904726997620997304e-09 9.739748592419815720e-01
2.619803925308457565e+03 6.884953969647604310e+01 2.247315966165919915e-02 1.162336079402478822e-01 1.040396325905954683e-02 1.904726997618807343e-09 9.739820283780764587e-01
2.619720255330762939e+03 6.882533436536326121e+01 2.247314855191916497e-02 1.162329159116457095e-01 1.056642514314945838e-02 1.904726997620597362e-09 9.739867063809828363e-01
2.619864957909958321e+03 6.886155370008842169e+01 2.247313876397716292e-02 1.162318982913351784e-01 1.064365718718539126e-02 1.904726997618296559e-09 9.739853229241762778e-01
2.620029458781352332e+03 6.889501037712449261e+01 2.247313750701688748e-02 1.162303616315828181e-01 1.053132237293901916e-02 1.904726997621579226e-09 9.739882691019330352e-01
2.619733042310273504e+03 6.883294741653546112e+01 2.247316241106619983e-02 1.162293888110297047e-01 1.055538617064843282e-02 1.904726997621917542e-09 9.739831496169053526e-01
2.620133240468114764e+03 6.891254367611729492e+01 2.247315610848397982e-02 1.162283840616832181e-01 1.034987977541229794e-02 1.904726997623071873e-09 9.739861196804525667e-01
2.619736902768495383e+03 6.881107864077770842e+01 2.247315563941114369e-02 1.162301608393333519e-01 1.052263968469821509e-02 1.904726997623191401e-09 9.739864876078535572e-01
2.619736902768495383e+03 6.881107864077770842e+01 2.247315563941114369e-02 1.162301608393333519e-01 1.052263968469821509e-02 1.904726997623191401e-09 9.739864876078535572e-01
